1935,Top Hat,Romance,99
1936,San Francisco,Drama,115
1937,Snow White and the Seven Dwarfs,Animation,83
1938,Alexander's Ragtime Band,Drama,106
1939,Gone with the Wind,Drama,220
1940,Pinocchio,Animation,88
1941,Sergeant York,Drama,134
1942,Bambi,Animation,70
1943,This is the Army,Comedy,121
1944,Meet Me in St. Louis,Comedy,113
1945,Mom and Dad,Drama,97
1946,Song of the South,Animation,94
1947,Forever Amber,Drama,138
1948,Red River,Action,133
1949,Samson and Delilah,Drama,131
1950,Cinderella,Animation,74
1951,Quo Vadis?,Drama,171
1952,The Greatest Show on Earth,Drama,152
1953,Peter Pan,Animation,77
1954,Rear Window,Thriller,112
1955,Lady and the Tramp,Animation,76
1956,The Ten Commandments,Drama,219
1957,The Bridge on the River Kwai,Drama,161
1958,South Pacific,Romance,157
1959,Ben-Hur,Adventure,212
1960,Swiss Family Robinson,Adventure,126
1961,101 Dalmatians,Animation,79
1962,The Longest Day,Action,178
1963,Cleopatra,Drama,192
1964,Mary Poppins,Musical,139
1965,The Sound of Music,Musical,174
1966,Hawaii,Drama,189
1967,The Jungle Book,Animation,78
1968,Funny Girl,Comedy,151
1969,Butch Cassidy and the Sundance Kid,Western,112
1970,Love Story,Drama,99
1971,Billy Jack,Action,114
1972,The Godfather,Drama,175
1973,The Exorcist,Horror,121
1974,Blazing Saddles,Comedy,93
1975,Jaws,Horror,124
1976,Rocky,Drama,119
1977,Star Wars IV: A New Hope,Sci-Fi,119
1978,Grease,Musical,110
1979,Kramer vs Kramer,Drama,105
1980,Star Wars V: The Empire Strikes Back,Sci-Fi,124
1981,Raiders of the Lost Ark,Adventure,115
1982,ET: The Extra-Terrestrial,Drama,114
1983,Star Wars VI: Return of the Jedi,Sci-Fi,133
1984,Ghostbusters,Comedy,107
1985,Back to the Future,Adventure,116
1986,Top Gun,Action,110
1987,3 Men and a Baby,Comedy,102
1988,Rain Man,Comedy,133
1989,Batman,Action,121
1990,Home Alone,Comedy,103
1991,Beauty and the Beast,Animation,85
1992,Aladdin,Animation,90
1993,Jurassic Park,Action,126
1994,The Lion King,Animation,87
1995,Toy Story,Animation,80
1996,Independence Day,Sci-Fi,145
1997,Titanic,Thriller,194
1998,Saving Private Ryan,Drama,169
1999,Star Wars I: The Phantom Menace,Sci-Fi,133
2000,How the Grinch Stole Christmas,Comedy,105
2001,Harry Potter and the Sorcerer's Stone,Adventure,152
2002,Spider-Man,Super Hero,121
2003,Finding Nemo,Animation,100
2004,Shrek 2,Animation,92
2005,Star Wars III: Revenge of the Sith,Sci-Fi,139
2006,Pirates of the Caribbean: Dead Man's Chest,Adventure,151
2007,Spider-Man 3,Super Hero,139
2008,The Dark Knight,Super Hero,152
2009,Avatar,Action,162
2010,Toy Story 3,Animation,102
2011,Harry Potter and the Deathly Hallows: Part II,Adventure,131
2012,The Avengers,Super Hero,143
2013,The Hunger Games: Catching Fire,Adventure,146
2014,American Sniper,Drama,132
2015,Jurassic World,Action,124
